OnePiece_Products_Promo-Products_Chinese-Anniversary-Nami-Gift-Box 14933.997272727273/0.0
OnePiece_Products_Promo-Products_1st-Anniversary-Set-English-Version 1492.9857446808512/-15.55736643025989
OnePiece_Products_Singles_Special-Tournament-Promos-Japanese_Shanks-OP01-120 6284.927857142858/265.6625238095248
Magic_Products_Booster-Boxes_Magic-The-Gathering-Avatar-The-Last-Airbender-Play-Booster-Box 145.6887/-10.600983098591684
OnePiece_Products_Booster-Boxes_Carrying-on-his-Will-Booster-Box-Non-English 108.81903225806451/-2.3568936678614136
OnePiece_Products_Booster-Boxes_The-Best-Vol2-Booster-Box-Non-English 51.17677419354839/-0.26472580645161514
OnePiece_Products_Singles_Awakening-of-the-New-Era-Japanese_Nami-OP01-016 220.85636363636365/18.677517482517516
OnePiece_Products_Singles_Awakening-of-the-New-Era-Japanese_Uta-OP02-120 109.13272727272728/1.7272727272727337
OnePiece_Products_Singles_Awakening-of-the-New-Era-Japanese_Yamato-OP01-121 127.14896551724138/-1.6694344827586178
OnePiece_Products_Singles_Bonds-of-Master-and-Disciple-Non-English_Jewelry-Bonney-OP12-118-V3 601.649/-47.28724999999997
OnePiece_Products_Singles_Carrying-on-his-Will-Non-English_PortgasDAce-OP13-119-V3 1034.4566666666667/-100.59666666666658
OnePiece_Products_Singles_Carrying-on-his-Will-Non-English_Sabo-OP13-120-V3 505.4608333333333/-6.860075757575714
OnePiece_Products_Singles_Emperors-in-the-New-World-Non-English_Boa-Hancock-OP07-051 324.84641025641025/-1.0253846153846098
OnePiece_Products_Singles_Emperors-in-the-New-World-Non-English_Nami-OP08-106 327.1763157894737/49.939649122807
OnePiece_Products_Singles_Emperors-in-the-New-World-Non-English_Zoro-Juurou-OP05-067 204.46754716981133/-12.226534462841727
OnePiece_Products_Singles_Romance-Dawn-Japanese_Nami-OP01-016-V2 130.07943396226415/4.337547169811316
OnePiece_Products_Singles_Romance-Dawn-Japanese_Roronoa-Zoro-OP01-001-V2 174.23675675675676/-4.2285373608903
OnePiece_Products_Singles_Romance-Dawn-Japanese_Yamato-OP01-121-V2 71.3434/-1.2620000000000005
OnePiece_Products_Singles_Special-Tournament-Promos-Japanese_Dracule-Mihawk-OP01-070 779.7953333333334/-5.699666666666644
OnePiece_Products_Singles_Special-Tournaments-Promos_Roronoa-Zoro-OP01-025 8091.384999999999/-311.84911764706067
OnePiece_Products_Singles_Special-Tournaments-Promos_Roronoa-Zoro-OP12-020-V1 26008.244285714285/-3470.2657142857133
OnePiece_Products_Singles_Special-Tournaments-Promos_Roronoa-Zoro-ST12-008 1457.0/-42.75
OnePiece_Products_Singles_Special-Tournaments-Promos_Yamato-OP01-121 2179.598/205.1005
